parent(john, sarah).
child(sarah, john).  
sibling(sarah, john).  
married(john, emily).  
employed(emily, marketing).  
friend(john, alex).  
owns(john, car).  
located_in(smiths, chicago).  
loves(john, reading).  
hates(jane, spiders).  
employed(jane, school).  
student_of(emma, jane).  
lives_with(michael, parents).  
has_pet(tom, dog).  
visits(sarah, grandparents).  
owns_vehicle(john, motorcycle).  
prefers(john, coffee).  
can_travel(alex, paris).  
has_skill(john, computer_science).  
needs_help_with(laura, math).  
sibling(parent(john, mother), aunt).  
employed(tom, microsoft).  
sibling(sarah, john).  
employed(emily, school).  
owns(michael, bicycle).  
married(jane, david).  
located_in(alex, london).  
loves(laura, books).  
has_pet(john, cat).  
teacher_of(sarah, emma).  
owns(tom, house).  
hates(john, basketball).  
employed(emily, google).  
prefers(michael, soccer).  
can_travel(jane, rome).  
married(alex, friend).  
needs_help_with(laura, programming).  
owns(john, house).  
located_in(john, new_york).  
loves(sarah, tennis).  
visits(tom, grandparents).  
sibling(parent(john, father), uncle).  
employed(david, amazon).  
sibling(emily, sister).  
located_in(michael, los_angeles).  
employed(jane, university).  
owns(alex, apartment).  
loves(laura, singing).  
has_pet(john, dog).  
visits(sarah, cousins).  
hates(tom, hiking).  
sibling(parent(john, grandmother), great_grandmother).  
employed(rachel, ibm).  
sibling(emily, brother).  
owns(michael, car).  
married(jane, colleague).  
located_in(alex, paris).  
loves(laura, photography).  
has_pet(john, bird).  
visits(sarah, friends).  
sibling(tom, sibling).  
sibling(parent(john, uncle), cousin).  
teacher_of(david, computer_science).  
owns(emily, apartment).  
prefers(michael, hiking).  
can_travel(jane, japan).  
married(alex, colleague).  
needs_help_with(laura, writing).  
owns(john, house).  
located_in(john, chicago).  
loves(sarah, football).  
visits(tom, friends).  
sibling(parent(john, great_grandmother), great_aunt).  
employed(rachel, apple).  
sibling(emily, friend).  
located_in(michael, new_york).  
employed(jane, high_school).  
owns(alex, suv).  
loves(laura, cooking).  
has_pet(john, rabbit).  
visits(sarah, parents).  
hates(tom, tennis).  
sibling(parent(john, great_uncle), cousin).  
owns(david, house).  
sibling(emily, sister).  
prefers(michael, skiing).  
can_travel(jane, australia).  
married(alex, friend).  
needs_help_with(laura, art).  
owns(john, bike).  
loves(sarah, basketball).  
visits(tom, friends).  
sibling(parent(john, great_grandfather), grandfather).  
employed(rachel, university).  
sibling(emily, colleague).  
located_in(michael, los_angeles).  
married(jane, friend).  
owns(alex, apartment).  
loves(laura, music).  
has_pet(john, parrot).  
visits(sarah, cousins).  
hates(tom, swimming).
